id,label,name,sex,year,age,skincolour,placeofbirth,nomtot,WME,CAA,TheArtistsPartnership,APA,Troika,UTA,ICMPartners,TheGershAgency,MagnaTalentAgency,IndependentTalentGroup,HyperionTalentAgency,ChambersManagement,InternationalArtistsManagement,CurtisBrownGroup,LindaMcAlisterTalent,LinstenManagement,MarkhamFroggatandIrwin,nota,nom9,nom10,nom11,nom12,nom13,nom14,nom15,nom16,nom17,win9,win10,win11,win12,win13,win14,win15,win16,win17
Jonasj,JJ,Joe Jonas,2,89,29,white,casagrandearizona,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
Jonask,KJO,Kevin Jonas,2,87,31,white,teanecknewjersey,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
Jonasn,NJ,Nick Jonas,2,92,26,white,dallastexas,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
Jovovich,MJ,Milla Jovovich,1,75,43,white,kievukraine,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Knowles,BK,Beyonce Knowles,1,81,37,afroamerican,houstontexas,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Kunis,MK,Mila Kunis,1,83,35,white,chernivtsiukraine,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Kutcher,AK,Ashton Kutcher,2,78,40,white,cedarrapidsiowa,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2
Lautner,TL,Taylor Lautner,2,92,26,nativeamerican,grandrapidsmichigan,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lawrencej,JL,Jennifer Lawrence,1,90,28,white,louisvillekentucky,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Lawrencem,ML,Martin Lawrence,2,65,53,afroamerican,frankfurtamgermany,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lohan,LL,Lindsay Lohan,1,86,32,white,newyorkcitynewyork,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Lopez,JLZ,Jennifer Lopez,1,69,49,hispanicamerican,newyorkcitynewyork,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Lutz,KL,Kellan Lutz,2,85,33,white,dickinsonnorthdakota,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Macfarlane,SMF,Seth MacFarlane,2,73,45,white,kentconnecticut,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Martin,SM,Steve Martin,2,45,73,white,wacotexas,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mccarthy,MC,Melissa McCarthy,1,70,48,white,plainfieldillinois,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Murphy,EM,Eddie Murphy,2,61,57,afroamerican,newyorkcitynewyork,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nixon,CN,Cynthia Nixon,1,66,52,white,newyorkcitynewyork,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
Palin,SP,Sarah Palin,1,64,54,white,sandpointidaho,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Paltrow,GP,Gwyneth Paltrow,1,72,46,white,lacalifornia,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Parker,SJP,Sarah Jessica Parker,1,65,53,white,nelsonvilleohio,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
Pattinson,RP,Robert Pattinson,2,86,32,white,londonuk,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Perry,TP,Tyler Perry,2,69,49,afroamerican,neworleanslouisiana,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1
Roberts,JR,Julia Roberts,1,67,51,white,atlantageorgia,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
Sandler,AS,Adam Sandler,2,66,52,white,newyorkcitynewyork,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2
Smith,JS,Jaden Smith,2,98,20,afroamerican,malibucalifornia,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
Stallone,SS,Sylvester Stallone,2,46,72,white,newyorkcitynewyork,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Stewart,KS,Kristen Stewart,1,90,28,white,lacalifornia,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
Stiller,BS,Ben Stiller,2,65,53,white,newyorkcitynewyork,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
Streisand,BSD,Barbara Streisand,1,42,76,white,newyorkcitynewyork,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Swardson,NS,Nick Swardson,2,76,42,white,minneapolisminnesota,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tatum,CT,Channing Tatum,2,80,38,white,cullmanalabama,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Theron,CTN,Charlize Theron,1,75,43,white,benonisouthafrica,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Travolta,JT,John Travolta,2,54,64,white,englewoodnewjersey,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Turner,RT,Rebekah Turner,1,na,60,white,na,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
Wahlberg,MW,Mark Wahlberg,2,71,47,white,bostonmassachusetts,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Watson,EW,Emma Watson,1,90,28,white,parisfrance,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Watts,NW,Naomi Watts,1,68,50,white,shorehamuk,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
Weiss,GW,Gaia Weiss,1,91,27,white,parisfrance,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Woodley,SW,Shailene Woodley,1,91,27,white,simivalleycalifornia,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
