Codebuch Razzies,Jennifer Kögel | Jana Stäbener | Celine Eckl | Jacqueline Fritsch | Cosima Stäbener
nom11film1,"Wenn die Person 2012 nominiert war, wird der Filmname eingetragen, für den die Person nominiert war."
nom11film2,"Wenn die Person 2012 für zwei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
nom11film3,"Wenn die Person 2012 für drei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
nom12film1,"Wenn die Person 2013 nominiert war, wird der Filmname eingetragen, für den die Person nominiert war."
nom12film2,"Wenn die Person 2013 für zwei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
nom12film3,"Wenn die Person 2013 für drei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
nom13film1,"Wenn die Person 2014 nominiert war, wird der Filmname eingetragen, für den die Person nominiert war."
nom13film2,"Wenn die Person 2014 für zwei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
nom13film3,"Wenn die Person 2014 für drei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
nom14film1,"Wenn die Person 2015 nominiert war, wird der Filmname eingetragen, für den die Person nominiert war."
nom14film2,"Wenn die Person 2015 für zwei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
nom15film1,"Wenn die Person 2016 nominiert war, wird der Filmname eingetragen, für den die Person nominiert war."
nom15film2,"Wenn die Person 2016 für zwei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
nom16film1,"Wenn die Person 2017 nominiert war, wird der Filmname eingetragen, für den die Person nominiert war."
nom16film2,"Wenn die Person 2017 für zwei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
nom17film1,"Wenn die Person 2018 nominiert war, wird der Filmname eingetragen, für den die Person nominiert war."
nom17film2,"Wenn die Person 2018 für zwei Filme nominiert war, wird der Filmname eingetragen, für den die Person auch nominiert war."
win9film1,"Wenn die Person 2010 gewonnen hat, wird der Filmname eingetragen, mit dem die Person gewonnen hat."
win9film2,"Wenn die Person 2010 mit zwei Filmen gewonnen hat, wird der zweite Filmname eingetragen."
win10film1,"Wenn die Person 2011 gewonnen hat, wird der Filmname eingetragen, mit dem die Person gewonnen hat."
win10film2,"Wenn die Person 2011 mit zwei Filmen gewonnen hat, wird der zweite Filmname eingetragen."
win11film1,"Wenn die Person 2012 gewonnen hat, wird der Filmname eingetragen, mit dem die Person gewonnen hat."
win11film2,"Wenn die Person 2012 mit zwei Filmen gewonnen hat, wird der zweite Filmname eingetragen."
win12film1,"Wenn die Person 2013 gewonnen hat, wird der Filmname eingetragen, mit dem die Person gewonnen hat."
win12film2,"Wenn die Person 2013 mit zwei Filmen gewonnen hat, wird der zweite Filmname eingetragen."
win13film1,"Wenn die Person 2014 gewonnen hat, wird der Filmname eingetragen, mit dem die Person gewonnen hat."
win13film2,"Wenn die Person 2014 mit zwei Filmen gewonnen hat, wird der zweite Filmname eingetragen."
win14film1,"Wenn die Person 2015 gewonnen hat, wird der Filmname eingetragen, mit dem die Person gewonnen hat."
win14film2,"Wenn die Person 2015 mit zwei Filmen gewonnen hat, wird der zweite Filmname eingetragen."
win15film1,"Wenn die Person 2016 gewonnen hat, wird der Filmname eingetragen, mit dem die Person gewonnen hat."
win15film2,"Wenn die Person 2016 mit zwei Filmen gewonnen hat, wird der zweite Filmname eingetragen."
win16film1,"Wenn die Person 2017 gewonnen hat, wird der Filmname eingetragen, mit dem die Person gewonnen hat."
win16film2,"Wenn die Person 2017 mit zwei Filmen gewonnen hat, wird der zweite Filmname eingetragen."
win17film1,"Wenn die Person 2018 gewonnen hat, wird der Filmname eingetragen, mit dem die Person gewonnen hat."
win17film2,"Wenn die Person 2018 mit zwei Filmen gewonnen hat, wird der zweite Filmname eingetragen."
